frame,time_s,detected,confidence,cx,cy,raw_cx,raw_cy,diameter,drift_px,status,candidates
235,1.950833,1,0.6859,2985.28,1582.86,3110.54,1646.01,55.39,145.38,ok,8
236,1.959167,1,0.4639,2985.37,1582.48,3111.52,1646.41,55.17,146.49,ok,8
237,1.967500,1,0.5257,2985.14,1582.67,3111.87,1647.00,55.14,147.15,ok,8
238,1.975833,1,0.6716,2985.04,1582.76,3111.99,1647.28,55.13,147.39,ok,9
239,1.984167,1,0.6889,2985.10,1582.87,3111.89,1647.32,55.19,147.22,ok,9
240,1.992500,1,0.4262,2985.54,1582.88,3111.85,1647.06,56.02,146.67,ok,10
241,2.000833,1,0.6772,2985.22,1582.30,3110.58,1646.01,55.85,145.60,ok,9
242,2.009167,1,0.6704,2984.83,1582.49,3109.01,1645.66,56.04,144.30,ok,10
243,2.017500,1,0.8072,2984.60,1582.60,3107.34,1644.97,54.96,142.64,ok,8
244,2.025833,1,0.5303,2985.18,1582.89,3106.35,1644.55,56.45,140.94,ok,9
245,2.034167,1,0.4950,2984.36,1583.02,3103.91,1643.82,55.59,139.17,ok,10
246,2.042500,1,0.3931,2984.65,1582.62,3102.95,1642.54,56.25,137.66,ok,9
247,2.050833,1,0.5059,2983.98,1582.03,3101.21,1641.17,56.53,136.38,ok,11
248,2.059167,1,0.6627,2983.93,1581.52,3100.35,1640.21,56.84,135.45,ok,10
249,2.067500,1,0.7213,2983.72,1581.54,3099.77,1639.95,56.68,135.01,ok,10
250,2.075833,1,0.7495,2983.49,1581.38,3099.31,1639.66,56.58,134.76,ok,10
251,2.084167,1,0.7845,2983.39,1581.33,3099.16,1639.46,56.28,134.68,ok,10
252,2.092500,1,0.7017,2983.32,1581.73,3099.02,1639.57,56.43,134.49,ok,10
253,2.100833,1,0.7792,2983.41,1581.88,3098.85,1639.42,56.33,134.16,ok,10
254,2.109167,1,0.7361,2983.61,1581.66,3098.86,1638.90,56.65,133.87,ok,10
255,2.117500,1,0.7208,2983.68,1581.71,3099.01,1638.67,56.61,133.81,ok,10
256,2.125833,1,0.7559,2983.62,1581.56,3099.08,1638.36,56.59,133.86,ok,10
257,2.134167,1,0.7673,2983.43,1581.69,3099.21,1638.43,56.71,134.12,ok,10
258,2.142500,1,0.7372,2983.22,1581.98,3099.44,1638.42,56.51,134.43,ok,11
259,2.150833,1,0.6178,2983.40,1581.59,3100.24,1637.78,56.93,134.86,ok,11
260,2.159167,1,0.5653,2983.75,1581.09,3101.34,1637.16,57.85,135.50,ok,10
261,2.167500,1,0.8618,2983.44,1581.80,3101.97,1637.63,56.29,136.33,ok,9
262,2.175833,1,0.8164,2982.46,1582.36,3101.94,1637.76,55.41,137.10,ok,9
263,2.184167,1,0.6833,2981.44,1582.11,3101.88,1637.17,54.78,137.90,ok,9
264,2.192500,1,0.5658,2982.56,1581.28,3103.73,1636.15,56.61,138.50,ok,9
265,2.200833,1,0.5410,2983.34,1581.75,3105.00,1636.41,56.38,138.89,ok,9
266,2.209167,1,0.5345,2983.46,1581.89,3105.30,1636.35,56.27,138.97,ok,9
267,2.217500,1,0.5518,2983.58,1581.97,3105.29,1636.17,56.47,138.73,ok,9
268,2.225833,1,0.3127,2983.37,1582.07,3104.63,1635.90,55.98,138.13,ok,10
269,2.234167,1,0.3871,2983.74,1582.64,3104.32,1635.93,56.31,137.29,ok,10
270,2.242500,1,0.4743,2983.19,1583.20,3103.16,1635.87,54.98,136.48,ok,10
271,2.250833,1,0.4295,2982.36,1582.84,3101.91,1634.94,54.23,135.85,ok,11
272,2.259167,1,0.3700,2981.26,1582.60,3100.60,1634.36,53.48,135.52,ok,10
273,2.267500,1,0.3785,2981.78,1582.06,3101.03,1633.59,54.50,135.35,ok,10
274,2.275833,1,0.3395,2982.60,1582.10,3101.93,1633.63,55.42,135.39,ok,10
275,2.284167,1,0.3891,2982.15,1582.21,3101.63,1633.77,54.98,135.49,ok,10
276,2.292500,1,0.2833,2981.61,1582.03,3101.09,1633.72,54.47,135.48,ok,10
